question_id,tags_asociados,cant_tags_asociados,tiempo_seg,tiempo_hrs,tiempo_min,tiempo_dias
30505872,eclipse-jdt,5,0,0.0,0.0,0.0
44128298,celery,2,0,0.0,0.0,0.0
44128298,ratelimit,2,0,0.0,0.0,0.0
43323837,caml,2,0,0.0,0.0,0.0
43323837,caml-light,2,0,0.0,0.0,0.0
43249751,javascript,4,0,0.0,0.0,0.0
43249751,php,4,0,0.0,0.0,0.0
43249751,jquery,4,0,0.0,0.0,0.0
43249751,html,4,0,0.0,0.0,0.0
15626071,javascript,4,0,0.0,0.0,0.0
15626071,jquery,4,0,0.0,0.0,0.0
15626071,internet-explorer-10,4,0,0.0,0.0,0.0
15626071,hammer.js,4,0,0.0,0.0,0.0
41609695,android,3,0,0.0,0.0,0.0
41609695,android-wear,3,0,0.0,0.0,0.0
41609695,android-sensors,3,0,0.0,0.0,0.0
39675448,unit-testing,4,0,0.0,0.0,0.0
39675448,import,4,0,0.0,0.0,0.0
39675448,jasmine,4,0,0.0,0.0,0.0
39675448,ecmascript-6,4,0,0.0,0.0,0.0
30766473,java,5,0,0.0,0.0,0.0
30766473,sbt,5,0,0.0,0.0,0.0
30766473,guice,5,0,0.0,0.0,0.0
30766473,sbt-plugin,5,0,0.0,0.0,0.0
30766473,playframework-2.4,5,0,0.0,0.0,0.0
31985992,html,2,0,0.0,0.0,0.0
31985992,css,2,0,0.0,0.0,0.0
35682382,android,4,0,0.0,0.0,0.0
35682382,android-fragments,4,0,0.0,0.0,0.0
35682382,android-viewpager,4,0,0.0,0.0,0.0
35682382,android-recyclerview,4,0,0.0,0.0,0.0
19096091,c#,3,0,0.0,0.0,0.0
19096091,.net,3,0,0.0,0.0,0.0
19096091,windows,3,0,0.0,0.0,0.0
40741863,jackson,3,0,0.0,0.0,0.0
40741863,spotify,3,0,0.0,0.0,0.0
40741863,access-token,3,0,0.0,0.0,0.0
14004399,javascript,3,0,0.0,0.0,0.0
14004399,html5-canvas,3,0,0.0,0.0,0.0
14004399,three.js,3,0,0.0,0.0,0.0
25041130,windows,2,0,0.0,0.0,0.0
25041130,puppet,2,0,0.0,0.0,0.0
18071368,maya,1,0,0.0,0.0,0.0
41567728,php,3,0,0.0,0.0,0.0
41567728,twitter,3,0,0.0,0.0,0.0
41567728,twitter-oauth,3,0,0.0,0.0,0.0
38788627,ios,3,0,0.0,0.0,0.0
38788627,uipageviewcontroller,3,0,0.0,0.0,0.0
38788627,swift3,3,0,0.0,0.0,0.0
42032464,swift,2,0,0.0,0.0,0.0
42032464,cloudkit,2,0,0.0,0.0,0.0
36086804,java,4,0,0.0,0.0,0.0
36086804,field,4,0,0.0,0.0,0.0
36086804,memory-barriers,4,0,0.0,0.0,0.0
36086804,soot,4,0,0.0,0.0,0.0
5312449,jstl,2,0,0.0,0.0,0.0
5312449,taglib,2,0,0.0,0.0,0.0
31112227,episerver,1,0,0.0,0.0,0.0
38244534,java,3,0,0.0,0.0,0.0
38244534,android,3,0,0.0,0.0,0.0
38244534,eclipse,3,0,0.0,0.0,0.0
39156474,django,3,0,0.0,0.0,0.0
39156474,django-admin,3,0,0.0,0.0,0.0
39156474,django-mptt,3,0,0.0,0.0,0.0
40847128,android,2,0,0.0,0.0,0.0
40847128,google-cloud-messaging,2,0,0.0,0.0,0.0
34027534,api,5,0,0.0,0.0,0.0
34027534,google-plus,5,0,0.0,0.0,0.0
34027534,hangout,5,0,0.0,0.0,0.0
34027534,youtube-livestreaming-api,5,0,0.0,0.0,0.0
34027534,hangouts-api,5,0,0.0,0.0,0.0
28731256,javascript,4,0,0.0,0.0,0.0
28731256,requirejs,4,0,0.0,0.0,0.0
28731256,ecmascript-6,4,0,0.0,0.0,0.0
28731256,babeljs,4,0,0.0,0.0,0.0
35155899,android,5,0,0.0,0.0,0.0
35155899,webview,5,0,0.0,0.0,0.0
35155899,certificate,5,0,0.0,0.0,0.0
35155899,insecure-connection,5,0,0.0,0.0,0.0
35155899,payfort,5,0,0.0,0.0,0.0
22602954,google-app-engine,2,0,0.0,0.0,0.0
22602954,google-drive-sdk,2,0,0.0,0.0,0.0
42296415,c++,4,0,0.0,0.0,0.0
42296415,mfc,4,0,0.0,0.0,0.0
42296415,localization,4,0,0.0,0.0,0.0
42296415,dialog,4,0,0.0,0.0,0.0
35661944,sql,2,0,0.0,0.0,0.0
35661944,sql-server,2,0,0.0,0.0,0.0
17432896,android,4,0,0.0,0.0,0.0
