question_id,tags_asociados,cant_tags_asociados,tiempo_seg,tiempo_hrs,tiempo_min,tiempo_dias
35268195,export,4,90,0.0,1.5,0.0
39600727,sql,1,2876,1.0,47.93,0.03
24828519,scala,3,100273,28.0,1671.22,1.16
24828519,jvm,3,100273,28.0,1671.22,1.16
24828519,chess,3,100273,28.0,1671.22,1.16
22146356,css,2,68,0.0,1.13,0.0
22146356,html,2,68,0.0,1.13,0.0
1394109,vb.net,4,4306,1.0,71.77,0.05
1394109,silverlight,4,4306,1.0,71.77,0.05
1394109,stream,4,4306,1.0,71.77,0.05
1394109,bitmapimage,4,4306,1.0,71.77,0.05
25311325,c#,3,4321983,1201.0,72033.05,50.02
25311325,windows-runtime,3,4321983,1201.0,72033.05,50.02
25311325,scroll-paging,3,4321983,1201.0,72033.05,50.02
25627487,visual-studio,3,2240177,622.0,37336.28,25.93
25627487,yasm,3,2240177,622.0,37336.28,25.93
25627487,mpir,3,2240177,622.0,37336.28,25.93
15156939,javascript,5,3194,1.0,53.23,0.04
15156939,jquery,5,3194,1.0,53.23,0.04
15156939,ajax,5,3194,1.0,53.23,0.04
15156939,internet-explorer-8,5,3194,1.0,53.23,0.04
15156939,indexof,5,3194,1.0,53.23,0.04
23634196,c#,3,9436,3.0,157.27,0.11
23634196,linq,3,9436,3.0,157.27,0.11
23634196,streaminsight,3,9436,3.0,157.27,0.11
40934526,php,4,579,0.0,9.65,0.01
40934526,html,4,579,0.0,9.65,0.01
40934526,mysql,4,579,0.0,9.65,0.01
40934526,sql,4,579,0.0,9.65,0.01
10906685,javascript,3,1966,1.0,32.77,0.02
10906685,json,3,1966,1.0,32.77,0.02
10906685,web-applications,3,1966,1.0,32.77,0.02
24444852,bash,2,351,0.0,5.85,0.0
24444852,sed,2,351,0.0,5.85,0.0
21129356,javascript,2,1279,0.0,21.32,0.01
21129356,youtube-api,2,1279,0.0,21.32,0.01
2859924,jquery,2,18864,5.0,314.4,0.22
2859924,plugins,2,18864,5.0,314.4,0.22
42453707,regex,2,24765,7.0,412.75,0.29
42453707,python-2.7,2,24765,7.0,412.75,0.29
21324870,c,5,195,0.0,3.25,0.0
21324870,arrays,5,195,0.0,3.25,0.0
21324870,pointers,5,195,0.0,3.25,0.0
21324870,matrix,5,195,0.0,3.25,0.0
21324870,indexing,5,195,0.0,3.25,0.0
23519101,php,3,168,0.0,2.8,0.0
23519101,arrays,3,168,0.0,2.8,0.0
23519101,foreach,3,168,0.0,2.8,0.0
21991912,c,3,78462,22.0,1307.7,0.91
21991912,audio,3,78462,22.0,1307.7,0.91
